iso_code,continent,location,date,population
AFG,Asia,Afghanistan,20210314,38928341
AFG,Asia,Afghanistan,20210315,38928341
AFG,Asia,Afghanistan,20210316,38928341
AFG,Asia,Afghanistan,20210317,38928341
AFG,Asia,Afghanistan,20210318,38928341
AFG,Asia,Afghanistan,20210319,38928341
AFG,Asia,Afghanistan,20210320,38928341
AFG,Asia,Afghanistan,20210321,38928341
AFG,Asia,Afghanistan,20210322,38928341
AFG,Asia,Afghanistan,20210323,38928341
AFG,Asia,Afghanistan,20210324,38928341
AFG,Asia,Afghanistan,20210325,38928341
AFG,Asia,Afghanistan,20210326,38928341
AFG,Asia,Afghanistan,20210327,38928341
AFG,Asia,Afghanistan,20210328,38928341
AFG,Asia,Afghanistan,20210329,38928341
AFG,Asia,Afghanistan,20210330,38928341
AFG,Asia,Afghanistan,20210331,38928341
AFG,Asia,Afghanistan,20210401,38928341
AFG,Asia,Afghanistan,20210402,38928341
AFG,Asia,Afghanistan,20210403,38928341
AFG,Asia,Afghanistan,20210404,38928341
AFG,Asia,Afghanistan,20210405,38928341
AFG,Asia,Afghanistan,20210406,38928341
AFG,Asia,Afghanistan,20210407,38928341
AFG,Asia,Afghanistan,20210408,38928341
AFG,Asia,Afghanistan,20210409,38928341
AFG,Asia,Afghanistan,20210410,38928341
AFG,Asia,Afghanistan,20210411,38928341
AFG,Asia,Afghanistan,20210412,38928341
AFG,Asia,Afghanistan,20210413,38928341
AFG,Asia,Afghanistan,20210414,38928341
AFG,Asia,Afghanistan,20210415,38928341
AFG,Asia,Afghanistan,20210416,38928341
AFG,Asia,Afghanistan,20210417,38928341
AFG,Asia,Afghanistan,20210418,38928341
AFG,Asia,Afghanistan,20210419,38928341
AFG,Asia,Afghanistan,20210420,38928341
AFG,Asia,Afghanistan,20210421,38928341
AFG,Asia,Afghanistan,20210422,38928341
AFG,Asia,Afghanistan,20210423,38928341
AFG,Asia,Afghanistan,20210424,38928341
AFG,Asia,Afghanistan,20210425,38928341
AFG,Asia,Afghanistan,20210426,38928341
AFG,Asia,Afghanistan,20210427,38928341
AFG,Asia,Afghanistan,20210428,38928341
